Epoch,LR,Loss_Total,Loss_CASSI,Loss_RGB,Val_PSNR,Val_SSIM,Val_SAM,Duration_Sec
201,0.001000,0.049667,0.042556,0.000422,25.4603,0.6181,29.0440,12.04
202,0.001000,0.053508,0.047097,0.000381,25.7483,0.6339,25.1299,12.11
203,0.001000,0.043792,0.038481,0.000316,26.0103,0.6267,22.4768,11.94
204,0.001000,0.038471,0.033693,0.000285,26.1098,0.6442,23.7519,12.24
205,0.001000,0.037117,0.032408,0.000281,26.1460,0.6529,25.0154,12.11
206,0.001000,0.043982,0.038885,0.000304,26.1447,0.6503,23.9313,12.00
207,0.001000,0.042801,0.038061,0.000283,26.2508,0.6419,25.8395,11.96
208,0.001000,0.035075,0.030488,0.000274,26.3796,0.6552,24.3698,12.04
209,0.001000,0.031625,0.027325,0.000257,26.4650,0.6643,23.3075,11.92
210,0.001000,0.029423,0.025411,0.000240,26.5546,0.6649,23.3086,11.93
211,0.001000,0.028752,0.025025,0.000224,26.5086,0.6637,23.9163,11.92
212,0.001000,0.028339,0.024526,0.000229,26.5243,0.6695,23.8942,12.05
213,0.001000,0.030025,0.026017,0.000241,26.6685,0.6704,23.8515,12.55
214,0.001000,0.028193,0.024503,0.000222,26.6945,0.6707,24.5491,12.49
215,0.001000,0.027368,0.023728,0.000219,26.8103,0.6726,23.5045,12.24
216,0.001000,0.028046,0.024407,0.000219,26.7427,0.6713,23.9247,11.85
217,0.001000,0.028012,0.024308,0.000223,26.8204,0.6734,22.8995,12.17
218,0.001000,0.028383,0.024701,0.000222,26.7069,0.6724,23.7151,12.30
219,0.001000,0.029017,0.025331,0.000223,26.6749,0.6734,23.4572,12.27
220,0.001000,0.031093,0.027047,0.000245,26.8462,0.6721,21.8806,12.09
221,0.001000,0.031170,0.027228,0.000239,26.6044,0.6643,25.4134,12.14
222,0.001000,0.029684,0.025852,0.000232,26.7747,0.6761,24.3468,12.02
223,0.001000,0.027631,0.024121,0.000213,26.9037,0.6765,23.5626,12.05
224,0.001000,0.027336,0.023698,0.000221,26.9518,0.6789,22.4023,12.28
225,0.001000,0.027688,0.023819,0.000235,26.9584,0.6823,22.4446,12.07
226,0.001000,0.026022,0.022419,0.000219,26.8646,0.6806,23.8645,12.27
227,0.001000,0.026701,0.023239,0.000211,26.9315,0.6842,23.0927,12.23
228,0.001000,0.027389,0.023870,0.000215,26.9456,0.6826,23.5294,12.04
229,0.001000,0.029129,0.025365,0.000230,27.0237,0.6735,22.0679,12.24
230,0.001000,0.031385,0.027237,0.000253,26.8933,0.6798,24.1916,12.04
231,0.001000,0.028628,0.025077,0.000217,26.8450,0.6739,25.0818,12.27
232,0.001000,0.029258,0.025637,0.000222,26.9496,0.6803,24.4784,11.94
233,0.001000,0.027048,0.023531,0.000215,27.0007,0.6874,23.0507,12.10
234,0.001000,0.026187,0.022777,0.000209,27.0676,0.6889,22.4186,11.97
235,0.001000,0.026546,0.023077,0.000213,26.8423,0.6785,25.5620,12.01
236,0.001000,0.045441,0.040624,0.000296,25.0044,0.6470,31.4153,12.02
237,0.001000,0.104799,0.096383,0.000518,24.7197,0.6206,30.1428,12.21
238,0.001000,0.055701,0.047954,0.000477,25.8168,0.6416,26.1678,11.98
239,0.001000,0.039331,0.032878,0.000398,26.2380,0.6501,25.7010,12.10
240,0.001000,0.032420,0.027637,0.000295,26.6082,0.6706,23.8302,12.00
241,0.001000,0.029233,0.025416,0.000236,26.9460,0.6746,22.5351,12.09
242,0.001000,0.031298,0.027399,0.000241,26.7074,0.6769,23.5060,12.28
243,0.001000,0.031697,0.027900,0.000235,26.8888,0.6823,23.7294,12.28
244,0.001000,0.053853,0.048713,0.000318,26.8405,0.6755,23.4436,12.19
245,0.001000,0.037489,0.032888,0.000285,26.4985,0.6748,22.4373,11.97
246,0.001000,0.031489,0.027222,0.000265,26.7684,0.6856,22.8433,11.91
247,0.001000,0.033899,0.029883,0.000249,26.9609,0.6780,23.1209,12.18
248,0.001000,0.032525,0.028548,0.000247,26.6418,0.6691,23.7759,12.31
249,0.001000,0.037705,0.033693,0.000250,26.7879,0.6726,21.3151,11.84
250,0.001000,0.030718,0.027038,0.000229,26.7748,0.6837,22.3397,12.24
251,0.001000,0.027931,0.024517,0.000213,26.8260,0.6818,23.0693,11.93
252,0.001000,0.029889,0.026233,0.000228,27.0512,0.6798,21.7336,12.41
253,0.001000,0.029919,0.026277,0.000228,26.8304,0.6784,23.1104,12.13
254,0.001000,0.026345,0.023024,0.000208,27.0045,0.6887,22.9441,12.39
255,0.001000,0.026757,0.023283,0.000217,27.2114,0.6893,21.8190,12.05
256,0.001000,0.025888,0.022567,0.000208,27.2665,0.6958,22.1421,12.10
257,0.001000,0.027141,0.023733,0.000214,27.1629,0.6958,22.5840,11.89
258,0.001000,0.029029,0.025629,0.000213,27.3266,0.7012,22.0798,11.83
259,0.001000,0.026899,0.023534,0.000212,27.2161,0.6937,23.3725,12.04
260,0.001000,0.024861,0.021808,0.000192,27.3321,0.6946,23.3022,12.28
261,0.001000,0.028218,0.024931,0.000207,27.2809,0.6940,24.6600,12.29
262,0.001000,0.030507,0.027106,0.000214,27.1176,0.6872,24.7413,12.46
263,0.001000,0.026223,0.022891,0.000210,27.3460,0.6970,22.4671,12.05
264,0.001000,0.024951,0.021846,0.000196,27.4172,0.6979,22.2957,12.10
265,0.001000,0.024042,0.020989,0.000193,27.4504,0.6982,21.5043,12.05
266,0.001000,0.027953,0.024602,0.000212,27.2722,0.7012,21.8161,12.03
267,0.001000,0.024958,0.021669,0.000208,27.3404,0.6986,21.8154,12.07
268,0.001000,0.025050,0.021905,0.000199,27.1616,0.7042,21.6244,12.21
269,0.001000,0.027649,0.024427,0.000205,27.3673,0.7043,21.7700,12.20
270,0.001000,0.026467,0.023337,0.000199,27.2453,0.7027,22.5211,12.38
271,0.001000,0.024960,0.021746,0.000204,27.3369,0.7073,21.4531,12.22
272,0.001000,0.023092,0.020099,0.000191,27.4116,0.7039,22.3000,12.13
273,0.001000,0.025545,0.022550,0.000191,27.2858,0.7019,22.6638,12.29
274,0.001000,0.025494,0.022356,0.000200,27.1239,0.7012,22.8031,12.28
275,0.001000,0.026423,0.023231,0.000204,27.1807,0.6990,23.0128,12.19
276,0.001000,0.026420,0.023270,0.000201,27.5387,0.7004,21.0209,12.40
277,0.001000,0.025349,0.022105,0.000208,27.4994,0.6957,21.6682,12.23
278,0.001000,0.028040,0.024792,0.000208,27.2585,0.6947,20.9106,12.04
279,0.001000,0.041218,0.037088,0.000265,26.3771,0.6699,23.4952,12.29
280,0.001000,0.035351,0.030835,0.000290,26.6817,0.6796,23.8647,11.98
281,0.001000,0.029582,0.025840,0.000240,27.0686,0.6882,21.4483,12.00
282,0.001000,0.026583,0.023219,0.000216,27.3363,0.6970,21.3077,11.96
283,0.001000,0.026597,0.023323,0.000211,27.1596,0.6876,23.7253,12.05
284,0.001000,0.023110,0.020091,0.000195,27.5840,0.7052,21.3097,11.92
285,0.001000,0.022790,0.019895,0.000187,27.1740,0.7049,23.2282,12.05
286,0.001000,0.022008,0.019021,0.000193,27.6485,0.7153,21.4433,11.97
287,0.001000,0.021520,0.018652,0.000185,27.3175,0.7079,23.1712,12.32
288,0.001000,0.022777,0.019848,0.000190,27.5943,0.7136,22.5123,11.98
289,0.001000,0.022752,0.019902,0.000185,27.6738,0.7174,22.1204,12.18
290,0.001000,0.022552,0.019488,0.000199,27.7631,0.7145,20.7497,11.88
291,0.001000,0.022277,0.019257,0.000196,27.8382,0.7184,20.5062,12.27
292,0.001000,0.023303,0.020509,0.000182,27.2976,0.7112,22.4697,11.91
293,0.001000,0.030905,0.027480,0.000223,27.3979,0.7111,21.9822,11.65
